"","X","id","Q1","Q2","Q3","Q4_1","Q4_2","Q4_3","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","density","areapc"
"1",1,85,2,2,2,"安徽省","芜湖市","湾沚区",5,6,50,1,-3,1,"2022/12/26",4,3,5,-3,670,50
"2",2,284,2,2,1,"安徽省","合肥市","包河区",4,2,130,2,2,2,"-3",0,4,6,7,203.0551205,65
"3",3,320,2,5,1,"安徽省","阜阳市","颍州区",4,6,180,3,3,1,"2022/12/18",3,5,5,7,481.3946101,60
"4",4,374,2,4,1,"安徽省","阜阳市","颍州区",1,3,110,4,3,1,"2022/12/12",4,4,5,5,481.3946101,27.5
"5",5,566,1,3,1,"安徽省","芜湖市","镜湖区",1,4,90,4,2,1,"2022/12/18",4,2,3,5,121,22.5
"6",6,626,1,2,1,"安徽省","滁州市","南谯区",2,4,120,4,4,1,"2022/12/17",4,5,6,6,1236.532359,30
"7",7,646,1,4,1,"安徽省","合肥市","庐阳区",2,3,160,4,2,1,"2022/12/20",3,5,5,2,134.7460538,40
"8",8,665,2,4,1,"安徽省","合肥市","蜀山区",2,6,89,2,2,2,"-3",0,5,4,4,163.6836874,44.5
"9",9,727,2,3,1,"安徽省","阜阳市","阜南县",4,2,100,4,4,1,"2022/12/21",4,6,7,7,1900.590808,25
"10",10,739,1,3,1,"安徽省","合肥市","蜀山区",1,6,90,4,3,1,"2022/12/25",4,6,4,2,163.6836874,22.5
"11",11,778,2,2,1,"安徽省","马鞍山市","花山区",2,10,114,5,5,1,"2022/12/14",2,5,6,5,111.4231767,22.8
"12",12,791,2,3,1,"安徽省","合肥市","肥西县",5,4,85,4,4,1,"2022/12/22",4,4,5,2,2233.771993,21.25
"13",13,863,2,2,1,"安徽省","芜湖市","镜湖区",1,3,127,3,3,2,"-3",0,4,5,5,121,42.3333333333333
"14",14,911,1,2,1,"安徽省","合肥市","包河区",2,6,50,1,-3,1,"2022/12/28",4,5,6,-3,203.0551205,50
"15",15,960,1,2,1,"安徽省","合肥市","包河区",2,4,100,2,2,1,"2022/12/20",3,5,5,4,203.0551205,50
"16",16,1087,2,2,1,"安徽省","阜阳市","太和县",4,1,95,4,3,1,"2022/12/20",4,4,5,5,1821.532808,23.75
"17",17,1097,1,2,2,"安徽省","六安市","霍山县",6,1,150,5,5,1,"2022/12/22",3,3,4,4,2016.008535,30
"18",18,1258,2,2,1,"安徽省","合肥市","蜀山区",3,7,65,1,-3,1,"2022/12/22",4,4,6,-3,163.6836874,65
"19",19,1271,1,2,1,"安徽省","阜阳市","颍州区",4,2,135,4,4,1,"2022/12/22",4,5,5,3,481.3946101,33.75
"20",20,1333,2,2,1,"安徽省","宣城市","广德市",4,2,100,5,5,2,"-3",0,4,5,5,2165,20
"21",21,66,2,2,1,"澳门","澳门半岛","花地玛堂区",2,8,60,3,3,1,"2022/11/18",2,6,6,4,3.2,20
"22",22,161,1,2,1,"澳门","澳门半岛","花地玛堂区",2,8,60,4,4,1,"2022/12/24",4,6,6,6,3.2,15
"23",24,5,2,3,1,"北京市","北京市","海淀区",4,3,120,4,2,1,"2022/12/16",3,6,5,5,408.739329,30
"24",25,9,2,2,1,"北京市","北京市","海淀区",5,3,60,2,2,1,"2022/12/16",4,5,6,6,408.739329,30
"25",26,14,2,2,1,"北京市","北京市","海淀区",4,10,25,4,4,1,"2022/12/13",4,4,5,5,408.739329,6.25
"26",27,16,2,4,1,"北京市","北京市","朝阳区",4,3,100,3,3,2,"-3",0,6,5,5,419.6313085,33.3333333333333
"27",28,20,2,2,1,"北京市","北京市","海淀区",4,6,10,2,2,1,"2022/12/16",4,1,7,7,408.739329,5
"28",29,29,1,2,1,"北京市","北京市","朝阳区",4,2,50,2,2,1,"2022/12/20",4,5,6,5,419.6313085,25
"29",30,30,1,3,1,"北京市","北京市","朝阳区",2,2,180,4,4,1,"2022/12/16",4,8,7,6,419.6313085,45
"30",31,33,1,3,1,"北京市","北京市","朝阳区",5,3,50,2,2,2,"-3",0,4,5,5,419.6313085,25
"31",32,36,1,2,1,"北京市","北京市","朝阳区",5,4,90,3,3,1,"2022/12/10",4,5,6,2,419.6313085,30
"32",33,37,2,2,1,"北京市","北京市","朝阳区",4,2,210,7,7,2,"-3",0,5,6,6,419.6313085,30
"33",34,38,1,3,1,"北京市","北京市","丰台区",5,5,50,1,-3,2,"-3",0,6,7,-3,287.8148812,50
"34",35,44,2,3,1,"北京市","北京市","朝阳区",4,2,60,3,2,1,"2022/12/13",4,7,6,6,419.6313085,20
"35",36,51,2,2,1,"北京市","北京市","大兴区",4,2,120,4,4,1,"2022/12/20",4,5,6,6,972.129989,30
