Age,var,est,est_l,est_u
<18,a,0.14,-0.286975858,0.855659206
18-29,a,0.1,-0.082049673,0.330576092
30-39,a,0.2,-0.031745197,0.540735654
40-49,a,0.11,-0.162337496,0.487564174
>=50,a,0.65,0.217081768,2.014831677
<18,b,0.03,-0.094760745,0.172989948
18-29,b,0.04,-0.002919729,0.086459235
30-39,b,0.06,0.01244885,0.113633397
40-49,b,0.1,0.028667217,0.187364328
>=50,b,0.13,0.011287225,0.282454731
<18,c,0,-0.07322828,0.079014366
18-29,c,-0.01,-0.033343433,0.014009222
30-39,c,-0.02,-0.047266445,0.008455548
40-49,c,0,-0.042203552,0.044063175
>=50,c,0.06,-0.010310479,0.139242992
<18,d,-0.03,-0.130433094,0.08302711
18-29,d,-0.07,-0.101161586,-0.032798085
30-39,d,-0.08,-0.036208217,-0.115842443
40-49,d,-0.09,-0.017905752,-0.149500963
>=50,d,-0.13,-0.041502189,-0.195562497
