,Symptom,Population_density
1797,a,1.172161353
7800,a,2.556938543
21,c,3.2
22,a,3.2
1870,a,3.493435855
5612,e,3.650112654
5613,a,3.650112654
3364,a,6.148831684
5618,a,8.515898694
1240,e,10
1243,e,12.5
7853,b,13
6022,c,16.82720731
291,e,18
3352,e,19.69202991
1874,a,20.4574105
3897,a,20.4574105
1143,a,20.46
6753,b,20.59720831
10949,a,20.59720831
10807,d,20.72853811
3362,e,22.56421229
5614,b,22.56421229
5617,b,22.56421229
5619,a,22.56421229
1044,b,23
1048,a,23
1066,b,23
1371,c,23
1078,e,23.48
1080,a,23.48
1083,c,23.48
1092,c,23.48
1103,b,23.48
1148,e,23.48
1173,a,23.48
1179,e,23.48
1184,e,23.48
1865,a,25.45131828
1790,a,26.34399584
1221,a,27
1232,a,27
1798,c,27.82491224
3787,a,27.82491224
986,b,30
1056,a,30
7131,b,31.37895327
6857,e,31.69882912
10545,a,31.69882912
589,a,33
292,a,35
308,a,35
1162,b,36.88
1183,e,36.88
1213,a,37
1220,a,37
1228,b,37
1231,e,37
3365,b,37.71414841
5616,e,37.71414841
1093,a,38.3
1174,b,38.3
1049,c,39
1053,a,39
1222,a,39
1238,a,39
1242,e,39
10065,d,39.25986434
10415,a,40.49154184
48,a,42
117,c,42
128,a,42
129,b,42
150,a,42
173,a,42
174,e,42
207,a,42
243,a,42
269,b,42
287,a,42
877,a,43
888,a,43
903,e,44.71573165
1843,a,48.32695418
3862,a,48.32695418
814,a,49
821,e,49
842,e,49
912,b,49
6415,c,50.20315304
8046,a,50.20315304
52,b,51
76,a,51
107,a,51
108,a,51
130,a,51
131,a,51
132,a,51
148,a,51
151,b,51
154,e,51
170,b,51
172,a,51
191,a,51
192,b,51
214,a,51
229,a,51
231,e,51
248,a,51
257,a,51
275,a,51
279,e,51
3793,e,52.2882153
825,a,53
828,a,53
846,b,53
859,a,53
906,c,53
550,a,53.34611409
7771,a,53.62191637
1079,a,54.76
1081,a,54.76
1087,a,54.76
1091,c,54.76
1096,a,54.76
1156,a,54.76
1160,d,54.76
1169,a,54.76
1110,a,54.83
1129,b,54.83
1138,a,54.83
1145,b,54.83
6200,b,56.12475472
7413,a,56.39651601
538,b,57
1846,a,58.37957698
1863,a,58.41752697
3867,a,58.41752697
9983,a,60.46705353
1082,e,60.73
1090,a,60.73
1095,e,60.73
1102,a,60.73
1107,a,60.73
1111,e,60.73
1113,b,60.73
1123,e,60.73
1127,a,60.73
1139,a,60.73
1141,e,60.73
1150,a,60.73
1151,a,60.73
1152,a,60.73
1153,a,60.73
1155,a,60.73
1157,c,60.73
1158,e,60.73
1161,a,60.73
1163,a,60.73
1164,a,60.73
1170,e,60.73
1171,e,60.73
1178,a,60.73
1180,b,60.73
1181,a,60.73
1182,a,60.73
1191,a,61
6530,d,61.09000038
5600,b,61.63973357
332,a,62
372,a,62
3300,c,62.01366941
5564,e,62.01366941
1867,b,62.95732027
3890,c,62.95732027
956,b,63
964,b,63
966,a,63
973,a,63
979,a,63
989,a,63
991,e,63
